2026 JAN W1 PLAYERS LIST

registered
 
125

started at Jan 10, 2026, 10:01 PM

finished at Jan 10, 2026, 11:43 PM


Position ↑	Player	Current Table	Stack	Status	Requested Participation	
120th	Adelana43 (ID: N43TDUY1p_)	--	--	Finished	Jan 10, 2026, 8:41:01 PM	
121st	Dville6 (ID: _s45thKCMp)	--	--	Finished	Jan 10, 2026, 7:39:07 PM	
122nd	warkoppp123 (ID: 9BM7vlcsR3)	--	--	Finished	Jan 10, 2026, 8:06:22 PM	
123rd	Georgiman (ID: 5l839XzhA7)	--	--	Finished	Jan 10, 2026, 9:45:39 PM	
124th	Shark09411 (ID: Baabl_GMWm)	--	--	Finished	Jan 10, 2026, 9:00:07 PM	
125th	CaptainJackal (ID: _2c02SQ7E6)	--	--	Finished	Jan 10, 2026, 8:07:16 PM




















